evt_id,evt_tx_hash,from,accAddress,amount
60,0x5dca9cdb7976f32462efcd108b2a53d438124ad00a76fa0a5f8bc22e7fbcf224,0x3F1c99873baD90F997be760f28D56088f497D037,dydx1xsn84hy6hnheg9t6trqsr4avna0lfl6kwdatt7,8.123456789012346
61,0x72397566e838ac0a0c658c779e6660b5e5342f964010971766332a58089cf407,0xD6de66e193eE432D7b46E4f3228380A06c532338,dydx1xl8tkudx3jjsud0jwel0m68feer3dzjmuadrnm,10
62,0x0ba88c3b42d51f989aeee3acc162284eb5c7e454308fac4b18fa17f604891f56,0x593F7587B238769FeB296fFCfdd5CBF3f5E3a5C5,dydx1trkf4lw7gk5gjg6fm8ljs528cywgd0c40vk4y4,2.2
63,0x0d259007c47feb00b139cd94ec2f9bd21b51ec0e56289ea4fcba73d936a4aa6b,0x0FFB937e25e36edABB62480cf2D927e89A94e435,dydx104kfjy295yzs7ejvxe50ghhlj26usqeh4anaga,1.1
64,0x2d2aae8876ecdab712f1cbe526a3f641ca287d192fb8ffe8e30c680e38049aa5,0x661BD1df681A8293e856f766AcACa1D7A6608518,dydx1trkf4lw7gk5gjg6fm8ljs528cywgd0c40vk4y4,3.43
65,0xc91f3372e07967a6938bbe207417bb58f44a3d015f4c0fa006c082cb9f40d16e,0x452Dde67a0eD37Afd751D52cDFB228e305100892,dydx19rg26rfyvphtpuq2tk7knh7ul73ladu72f5m0t,1097.8
66,0xfca7c3b24b074d4f7a87ee70a1a3be5c7b117660ab7f40bfc75d9077f53051d9,0x38631c49b53D1E5b1C0148648Fa72BE4E30f1e25,dydx1ct3qfgmx74fzkgzehun7ayusjaqv0dyc5rp300,5
67,0x9aaa58c5b3005cb4cbcf3f1a1f5a2c9123beae99b05826002583fec40a37d003,0xcF7B1161D2616d842C5dfA4F1F7cfa4D8f3ac99D,dydx1w7zmxnra5ckhzs3xhrxyneu0d8cutxhy75wktw,95
68,0x2e5ac710cff48d366e58607d0a3f6c45dc8212a55edba2b9752fa3c4ae767f7c,0xE00B9f801762C6Ddf906F9e719b8ea4c42820077,dydx1lmly4sre7jkwt2dsshfqfvx9c9424pdqtlas64,1973.2
69,0xf352fd7f5aa0653e6e153dd20ec14e136d9492b03aa2fbecc570c87bf99afabb,0xED3f3bB424F4a3b254DF0D1a51DD4e7BC5f40e66,dydx1grmf25yqqurzsewdazamxy885r5r6rrmw5ujya,20
70,0x0f1eb9045798fd267f5e77bb183d3004ea41eb2358fbbdfe64be7d24e7cf5f73,0x47fF49e729A36560c53125223Cd4aa453C53E5c4,dydx1psha7k07meue9arj0u03n8zl2vxlgm2mekmz3l,2
71,0x6137a5d8dceff757bbf07a5ab8d54035a3b8119b79bb20bb5abf20fe8c0df292,0xba8Bcb4EB9a90D5A0eAe0098496703b49f909cB2,dydx1k8t8ms0l4jsn3g35mltajxt8wa59k00vczanag,1090
72,0xd632270bb578b78d119010d3a7af7bb6a49f566f6c876ea40dcf0ae58fa59b0d,0x4C792f11D84Fa399e23721DcB20a17f042CBcF44,dydx1mc8x6etdnnxa95upmw4scccdynzquyaje424af,1
73,0xe5a1be755b530ad54270b349c9bad53d442e543fe3e51fa3e045024af9418133,0x06dAc76238C83F3efcB445BBdD07BDfdF302ec4F,dydx1w44vfk3jzh69p7yawwqcaazuxz944ve937htzk,130.83096999999998
74,0x01daef352d2d24850c7e04682d5690537a25d2a8174d8b9e83e1233f26d2393f,0xe8f7b7Fdef6da1C0bC850bA39eCa2C357615a248,dydx14pjayptxmn6sauhujgledunhnxue6w9gqyhd6v,1
75,0xe1420c1898fdaafc4ee7cce461358eced9359fd17ae087450ff6095b13696761,0xE3c2fca0cF863A502Afa3CD954dc98F51Fc3874b,dydx1avcuwhrnxczkkskwly79yklcfvyusknh530q4x,1
76,0x46b6bda09b888b092152b80c85d73db5bc8c51e09619f1e9d201ede3b1b79612,0x82A80DC7cF08f2Dd111C3663B530E17E87B12f24,dydx12qytdgd45v7aktmt896fg00tkt63drem6fu8ft,1
77,0xe19be7ae8c7032b4d5a29c65857c5f1747f4abc0ed4680544c510c811e90fdb4,0x10f82029696de987Aed196fc141B4b745D2C000a,dydx1s99kpxavmcwmj0mpy0nvvpcjr7mr390ekutphg,1000
78,0x225a5238af3a47955024c4482961ff401094bc8b730c5be40908144b10c99b39,0xC653E9188532238A36Dd2c02d63eE1931F3E46F0,dydx15xgxv2j45uc4er8z9tfz5m0f0e74ymv6rvnfwu,913.2103
79,0x4c390d931840f7ff47e8e109dff9df39c6e0813a6e58c6c15dd51cc477299e96,0x43a44A8217d51BECC04f95BcCB2e3C70904fc48e,dydx1m0lhr95t2g2axfns6mje0zlltllwprqdmwyu62,10
80,0x24ca48272ede9d08339b38d6c52373485091fc9b679282da7d1ae9bc7be59b01,0xe9B4EfB97aF3e40299C021669acc14a75597BA02,dydx1ppvlzjdjqkhc3fltxdfg9ey5gzrw0za0m374lr,3
81,0x9ac430993fea56263f87d01036a161df84b3d7d4f1d659c0c2883bba3385326e,0x5E91ef7EE904b434CaEbe032e8e773e40cb3F36E,dydx1h6x6pxkv2fv3jzsx5hc5efaarhue7gpsdmxafk,0.1337
82,0xf77b2189d73e454359f33071d4ac6457807f69795fa12f57e0c04f8ebc33c354,0xe9B4EfB97aF3e40299C021669acc14a75597BA02,dydx1ppvlzjdjqkhc3fltxdfg9ey5gzrw0za0m374lr,3070.91296
83,0xc79d11354e86b0d410d55aec5196d29bea9d25889f44ff61e44c24b742f66c21,0xcC7B22eBdF09786a121D7885A24dd83cAefFb1D6,dydx1l25gwy5j7rja589r5s9trmj2chtd9fvcrf4x4l,1000
84,0xc262818df5153399f3641b141ae52e50944d60ca93448ca6295880b47526d816,0x6e32503940A2dc7eD60Ef7F40f2045C626a8Fd63,dydx1j6wqgnzyslwwhqv3ylceavk0kx4kk50jxnda6y,1000
85,0x648a2b5e9ad3d69e24f4307a4b93beb280cc0a62a2976e271269dc6b10a4f27b,0xD195f36F446Fff45d60Aebd7654f37ba1D6E3Ff7,dydx1mdsyshqgzu7322chxurm4hxgjlyp0g6y2etw49,1
86,0x84f420ca923ce342e12014cd063bcdab4ebc3ed805596c2052653fe772d943a9,0x7fAF39eAB352aaA407412F1838e6713Be4760C93,dydx1xesqr8vjvy34jhu027zd70ypl0nnev5e0yxawu,10
87,0xb2668a0c4978b0c033c023fc49a9e649081b0fadf17bb5356e1554ff81afb6ac,0x6B40f008afE85894af56F1d3301127Ec7BD74A47,dydx1sdhal4ddnqnnqp8d5ymz3nzh9utsw2elt0yw6f,3.27565
88,0x668db9dd3cb638b597a2890618acd62ff29c80b77d55441ed313ab6bd14a521a,0x6615B9BBb024E2c7F84c48D0035De2a8980F0c97,dydx1a9lm6t9qalz53jrp0q6p50q2cxeqnwshse78q6,3
89,0x4e7853afd49a06bc5b4b47b8cf98c1bd4fe94501a73bb445268e46b2e44e1bfb,0xE206d9566F3Bd13446AB95FaD6638A54BF3E10f7,dydx1h8tjxd4trx4lv228az3mkmzl3h79fgl80ff098,1
